АВС/ DEF;От;До;Емкость;Оператор;Регион
910;0570000;0599999;30000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;0600000;0629999;30000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;0630000;0659999;30000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;0660000;0689999;30000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;0690000;0719999;30000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;0720000;0749999;30000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;0750000;0779999;30000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;0780000;0809999;30000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;0810000;0899999;90000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0900000;0999999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;1000000;1099999;100000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;1100000;1199999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;1200000;1499999;300000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;1500000;1699999;200000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;1700000;1899999;200000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;1900000;1999999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;2000000;2099999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;2100000;2199999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;2200000;2299999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;2300000;2399999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;2400000;2499999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;2500000;2599999;100000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;2600000;2699999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;2700000;2799999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;2800000;2899999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;2900000;2999999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;3000000;3099999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;3100000;3199999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;3200000;3299999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;3300000;3399999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;3400000;3499999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;3500000;3599999;100000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;3600000;3699999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;3700000;3799999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;4000000;4999999;1000000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;5000000;5099999;100000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;5100000;5299999;200000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;5300000;5399999;100000;ПАО "Мобильные ТелеСистемы";Тверская обл.
